timestamp_utc,original_filename,saved_path,results_path,rows_processed,wo_volume_total,overwritten_weeks
20260129T214825Z,fake_apm_ibot_export_Q1.xlsx,data\20260129T214825Z_fake_apm_ibot_export_Q1.xlsx,data/20260129T214825Z_results.xlsx,52,700,
20260129T214841Z,fake_apm_ibot_export_Q2.xlsx,data\20260129T214841Z_fake_apm_ibot_export_Q2.xlsx,data/20260129T214841Z_results.xlsx,52,750,14.0
20260129T215348Z,fake_apm_ibot_export_Q3.xlsx,data\20260129T215348Z_fake_apm_ibot_export_Q3.xlsx,data/20260129T215348Z_results.xlsx,52,800,27.0
20260129T215358Z,fake_apm_ibot_export_Q4.xlsx,data\20260129T215358Z_fake_apm_ibot_export_Q4.xlsx,data/20260129T215358Z_results.xlsx,52,780,"1,40"
20260129T220504Z,admin_edit,,data/master_weeks.csv,52,2971,admin_edit
20260129T221422Z,fake_apm_ibot_export_Q1.xlsx,data\20260129T221422Z_fake_apm_ibot_export_Q1.xlsx,data/20260129T221422Z_results.xlsx,52,700,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
20260129T221435Z,fake_apm_ibot_export_Q2.xlsx,data\20260129T221435Z_fake_apm_ibot_export_Q2.xlsx,data/20260129T221435Z_results.xlsx,52,750,"14,15,16,17,18,19,20,21,22,23,24,25,26,27"
20260129T221443Z,fake_apm_ibot_export_Q3.xlsx,data\20260129T221443Z_fake_apm_ibot_export_Q3.xlsx,data/20260129T221443Z_results.xlsx,52,800,"27,28,29,30,31,32,33,34,35,36,37,38,39,40"
20260129T221447Z,fake_apm_ibot_export_Q4.xlsx,data\20260129T221447Z_fake_apm_ibot_export_Q4.xlsx,data/20260129T221447Z_results.xlsx,52,780,"1,40,41,42,43,44,45,46,47,48,49,50,51,52"
20260129T221616Z,fake_apm_ibot_export_2027_Q1.xlsx,data\20260129T221616Z_fake_apm_ibot_export_2027_Q1.xlsx,data/20260129T221616Z_results.xlsx,52,720,
20260129T224145Z,fake_apm_ibot_export_2027_Q1.xlsx,data\20260129T224145Z_fake_apm_ibot_export_2027_Q1.xlsx,data/20260129T224145Z_results.xlsx,52,720,
20260129T224149Z,fake_apm_ibot_export_2027_Q1.xlsx,data\20260129T224149Z_fake_apm_ibot_export_2027_Q1.xlsx,data/20260129T224149Z_results.xlsx,52,720,"1,2,3,4,5,6,7,8,9,10,11,12,13,52"
20260129T224156Z,fake_apm_ibot_export_Q2.xlsx,data\20260129T224156Z_fake_apm_ibot_export_Q2.xlsx,data/20260129T224156Z_results.xlsx,52,750,"14,15,16,17,18,19,20,21,22,23,24,25,26,27"
20260129T224202Z,fake_apm_ibot_export_Q3.xlsx,data\20260129T224202Z_fake_apm_ibot_export_Q3.xlsx,data/20260129T224202Z_results.xlsx,52,800,"27,28,29,30,31,32,33,34,35,36,37,38,39,40"
20260129T224209Z,fake_apm_ibot_export_Q4.xlsx,data\20260129T224209Z_fake_apm_ibot_export_Q4.xlsx,data/20260129T224209Z_results.xlsx,52,780,"1,40,41,42,43,44,45,46,47,48,49,50,51,52"
20260130T192449Z,fake_apm_ibot_export_2027_Q1.xlsx,data\20260130T192449Z_fake_apm_ibot_export_2027_Q1.xlsx,data/20260130T192449Z_results.xlsx,52,720,
20260130T192914Z,fake_apm_ibot_export_2027_Q1.xlsx,data\20260130T192914Z_fake_apm_ibot_export_2027_Q1.xlsx,data/20260130T192914Z_results.xlsx,52,720,"1,2,3,4,5,6,7,8,9,10,11,12,13,52"
